ClaimNumber,PolicyNumber,ClaimStatus,LossDate,ReportDate,CauseOfLoss,LossState,ClaimantCount,AdjusterID,LitigationFlag,FraudIndicator
KM-CLM-000400,KM-POL-000202,Closed,2022-09-24,2022-10-22,Burn,PA,1,ADJ-A03,Y,N
KM-CLM-000401,KM-POL-000120,Closed,2022-03-22,2022-03-30,Single Vehicle,OH,1,ADJ-A01,N,N
KM-CLM-000402,KM-POL-001673,Closed,2022-06-22,2022-08-05,Slip and Fall,NY,1,ADJ-A01,N,N
KM-CLM-000403,KM-POL-001836,Closed,2022-10-18,2022-11-21,Single Vehicle,NJ,1,ADJ-A01,N,N
KM-CLM-000404,KM-POL-001831,Closed,2021-10-21,2021-11-01,Slip and Fall,NJ,1,ADJ-A03,N,
KM-CLM-000405,KM-POL-000389,Reopened,2021-07-23,2021-08-29,Parking,NY,1,ADJ-A03,N,N
KM-CLM-000406,KM-POL-001561,Closed,2023-04-06,2023-05-14,Cut/Laceration,NJ,1,ADJ-A02,N,N
KM-CLM-000407,KM-POL-001848,Closed,2021-07-09,2021-08-07,Motor Vehicle,DE,1,ADJ-A03,Y,N
KM-CLM-000408,KM-POL-000234,Open,2022-12-14,2023-01-23,Rear End Collision,OH,2,ADJ-A03,N,N
KM-CLM-000409,KM-POL-001657,Closed,2022-12-08,2023-01-17,Sideswipe,NJ,1,ADJ-A01,N,N
KM-CLM-000410,KM-POL-000602,Closed,2022-12-03,2023-01-08,Burn,PA,1,ADJ-A02,N,N
KM-CLM-000411,KM-POL-001344,Reopened,2023-12-28,2024-01-24,Single Vehicle,PA,1,ADJ-A05,N,
KM-CLM-000412,KM-POL-000712,Open,2022-03-31,2022-05-03,Parking,DE,2,ADJ-A03,N,N
KM-CLM-000413,KM-POL-000982,Open,2024-05-03,2024-06-12,Head On,PA,1,ADJ-A03,N,N
KM-CLM-000414,KM-POL-001204,Closed,2022-07-17,2022-08-26,Strain,OH,1,ADJ-A05,Y,N
KM-CLM-000415,KM-POL-000857,Open,2024-04-30,2024-06-03,Burn,PA,1,ADJ-A01,N,N
KM-CLM-000416,KM-POL-001392,Open,2021-12-28,2022-01-16,Cut/Laceration,OH,1,ADJ-A02,Y,N
KM-CLM-000417,KM-POL-000076,Closed,2022-09-13,2022-10-05,Single Vehicle,OH,1,ADJ-A01,N,N
KM-CLM-000418,KM-POL-000649,Closed,2022-09-10,2022-10-10,Head On,NJ,3,ADJ-A04,N,N
KM-CLM-000419,KM-POL-000650,Closed,2022-10-11,2022-11-14,Rear End Collision,NJ,2,ADJ-A03,N,N
KM-CLM-000420,KM-POL-000496,Closed,2023-05-04,2023-05-18,Fall,NJ,1,ADJ-A04,N,N
KM-CLM-000421,KM-POL-001546,Open,2022-01-26,2022-01-31,Intersection,PA,1,ADJ-A03,N,N
KM-CLM-000422,KM-POL-001225,Closed,2021-11-17,2021-12-15,Cut/Laceration,PA,1,ADJ-A04,N,N
KM-CLM-000423,KM-POL-000830,Open,2023-01-31,2023-02-19,Parking,PA,1,ADJ-A05,N,N
KM-CLM-000424,KM-POL-001370,Reopened,2022-06-21,2022-07-14,Struck By,NY,1,ADJ-A03,N,N
KM-CLM-000425,KM-POL-000483,Closed,2023-07-24,2023-08-19,Intersection,MD,1,ADJ-A03,N,N
KM-CLM-000426,KM-POL-001243,Closed,2023-02-08,2023-02-24,Parking,DE,1,ADJ-A04,N,N
KM-CLM-000427,KM-POL-001084,Closed,2023-10-16,2023-10-25,Product Defect,DE,1,ADJ-A02,N,N
KM-CLM-000428,KM-POL-000991,Closed,2021-09-19,2021-10-08,Parking,PA,1,ADJ-A04,N,N
KM-CLM-000429,KM-POL-001683,Open,2023-04-17,2023-04-17,Intersection,NY,3,ADJ-A03,N,N
KM-CLM-000430,KM-POL-000619,Closed,2022-09-30,2022-09-30,Advertising Injury,OH,1,ADJ-A03,N,N
KM-CLM-000431,KM-POL-000550,Closed,2021-10-21,2021-11-23,Rear End Collision,PA,3,ADJ-A02,N,N
KM-CLM-000432,KM-POL-000646,Closed,2023-10-05,2023-10-13,Advertising Injury,NJ,1,ADJ-A01,N,N
KM-CLM-000433,KM-POL-001935,Closed,2024-01-23,2024-02-14,Sideswipe,NJ,1,ADJ-A02,N,N
KM-CLM-000434,KM-POL-001245,Closed,2023-06-05,2023-06-23,Parking,NY,1,ADJ-A01,Y,N
KM-CLM-000435,KM-POL-001839,Closed,2023-12-02,2024-01-01,Bodily Injury,MD,1,ADJ-A03,Y,N
KM-CLM-000436,KM-POL-001965,Open,2022-05-05,2022-06-08,Rear End Collision,PA,1,ADJ-A05,N,N
KM-CLM-000437,KM-POL-000502,Closed,2023-06-12,2023-06-12,Head On,NY,2,ADJ-A05,N,N
KM-CLM-000438,KM-POL-001157,Open,2023-08-13,2023-09-26,Burn,MD,3,ADJ-A04,N,N
KM-CLM-000439,KM-POL-000846,Closed,2022-11-08,2022-12-09,Strain,NJ,1,ADJ-A02,N,
KM-CLM-000440,KM-POL-000053,Closed,2022-10-31,2022-11-30,Product Defect,PA,1,ADJ-A02,N,N
KM-CLM-000441,KM-POL-000450,Closed,2023-07-18,2023-08-06,Motor Vehicle,NJ,1,ADJ-A05,Y,N
KM-CLM-000442,KM-POL-000062,Closed,2022-03-19,2022-03-19,Burn,DE,1,ADJ-A01,Y,N
KM-CLM-000443,KM-POL-001047,Open,2024-03-04,2024-03-31,Repetitive Motion,NJ,1,ADJ-A02,N,
KM-CLM-000444,KM-POL-000044,Closed,2022-11-15,2022-12-03,Advertising Injury,PA,1,ADJ-A01,N,N
KM-CLM-000445,KM-POL-000820,Closed,2023-05-13,2023-06-20,Fall,NJ,1,ADJ-A01,N,N
KM-CLM-000446,KM-POL-001582,Closed,2024-03-17,2024-03-31,Cut/Laceration,OH,1,ADJ-A01,Y,N
KM-CLM-000447,KM-POL-000659,Open,2022-11-11,2022-11-11,Parking,PA,1,ADJ-A01,Y,N
KM-CLM-000448,KM-POL-000728,Closed,2022-02-01,2022-03-08,Intersection,PA,1,ADJ-A04,N,N
KM-CLM-000449,KM-POL-000852,Closed,2024-04-10,2024-05-03,Parking,PA,1,ADJ-A04,N,N
KM-CLM-000450,KM-POL-000047,Open,2022-05-19,2022-05-31,Strain,PA,3,ADJ-A05,N,N
KM-CLM-000451,KM-POL-001883,Closed,2023-03-09,2023-04-04,Sideswipe,MD,1,ADJ-A04,N,N
KM-CLM-000452,KM-POL-000820,Open,2024-03-24,2024-04-28,Cut/Laceration,NJ,2,ADJ-A02,N,N
KM-CLM-000453,KM-POL-001048,Closed,2022-08-23,2022-09-19,Burn,NJ,2,ADJ-A04,N,N
KM-CLM-000454,KM-POL-001681,Open,2022-04-11,2022-05-06,Repetitive Motion,NY,3,ADJ-A02,Y,N
KM-CLM-000455,KM-POL-000089,Closed,2023-07-17,2023-08-01,Product Defect,OH,2,ADJ-A02,N,
KM-CLM-000456,KM-POL-001198,Closed,2021-10-02,2021-10-12,Bodily Injury,OH,1,ADJ-A01,Y,N
KM-CLM-000457,KM-POL-001600,Closed,2021-12-30,2022-02-13,Slip and Fall,NY,2,ADJ-A05,N,N
KM-CLM-000458,KM-POL-001143,Closed,2022-02-28,2022-04-10,Intersection,DE,1,ADJ-A01,N,N
KM-CLM-000459,KM-POL-000735,Closed,2022-12-12,2023-01-05,Struck By,MD,1,ADJ-A01,N,N
KM-CLM-000460,KM-POL-001692,Open,2022-03-15,2022-04-08,Head On,DE,3,ADJ-A04,Y,N
KM-CLM-000461,KM-POL-000178,Closed,2022-09-28,2022-10-12,Repetitive Motion,NY,2,ADJ-A04,N,N
KM-CLM-000462,KM-POL-001019,Reopened,2022-02-24,2022-03-12,Product Defect,PA,3,ADJ-A02,N,N
KM-CLM-000463,KM-POL-001856,Closed,2024-09-24,2024-09-29,Repetitive Motion,PA,2,ADJ-A04,N,N
KM-CLM-000464,KM-POL-001948,Open,2023-11-17,2023-12-14,Repetitive Motion,NY,2,ADJ-A04,N,N
KM-CLM-000465,KM-POL-001366,Open,2021-08-13,2021-09-22,Strain,NY,1,ADJ-A03,Y,N
KM-CLM-000466,KM-POL-001592,Reopened,2023-11-09,2023-11-24,Slip and Fall,PA,2,ADJ-A02,N,N
KM-CLM-000467,KM-POL-001083,Closed,2022-07-31,2022-09-02,Strain,PA,1,ADJ-A02,N,N
KM-CLM-000468,KM-POL-000901,Closed,2023-07-13,2023-08-21,Repetitive Motion,PA,2,ADJ-A03,N,N
KM-CLM-000469,KM-POL-000438,Closed,2023-12-09,2024-01-22,Bodily Injury,NJ,2,ADJ-A02,Y,N
KM-CLM-000470,KM-POL-001452,Closed,2021-11-26,2022-01-08,Head On,NY,2,ADJ-A05,N,N
KM-CLM-000471,KM-POL-000426,Closed,2023-04-10,2023-04-27,Intersection,MD,1,ADJ-A05,N,N
KM-CLM-000472,KM-POL-000968,Reopened,2023-05-13,2023-05-31,Strain,DE,1,ADJ-A03,N,N
KM-CLM-000473,KM-POL-001405,Closed,2023-12-14,2024-01-24,Single Vehicle,NY,1,ADJ-A04,N,N
KM-CLM-000474,KM-POL-000486,Open,2022-09-16,2022-10-20,Bodily Injury,MD,2,ADJ-A05,N,N
KM-CLM-000475,KM-POL-001756,Open,2024-07-17,2024-08-03,Advertising Injury,PA,1,ADJ-A03,N,N
KM-CLM-000476,KM-POL-001209,Open,2023-10-02,2023-10-28,Burn,NJ,1,ADJ-A05,N,N
KM-CLM-000477,KM-POL-001583,Closed,2023-07-07,2023-07-19,Sideswipe,NJ,1,ADJ-A01,N,N
KM-CLM-000478,KM-POL-000460,Open,2024-06-04,2024-06-08,Cut/Laceration,NJ,2,ADJ-A03,N,N
KM-CLM-000479,KM-POL-001913,Open,2021-07-05,2021-07-16,Advertising Injury,PA,2,ADJ-A02,N,N
KM-CLM-000480,KM-POL-000921,Reopened,2022-10-10,2022-10-18,Bodily Injury,NJ,2,ADJ-A05,Y,N
KM-CLM-000481,KM-POL-001126,Open,2024-04-29,2024-05-17,Rear End Collision,NY,1,ADJ-A02,N,
KM-CLM-000482,KM-POL-001580,Open,2021-09-30,2021-10-07,Sideswipe,NJ,1,ADJ-A03,N,
KM-CLM-000483,KM-POL-001039,Open,2023-12-06,2024-01-15,Struck By,PA,1,ADJ-A05,N,N
KM-CLM-000484,KM-POL-000748,Open,2024-01-24,2024-02-22,Single Vehicle,PA,1,ADJ-A02,Y,N
KM-CLM-000485,KM-POL-001897,Closed,2023-03-07,2023-04-15,Head On,PA,2,ADJ-A04,N,N
KM-CLM-000486,KM-POL-000051,Reopened,2021-07-28,2021-08-25,Product Defect,NJ,1,ADJ-A04,N,N
KM-CLM-000487,KM-POL-000309,Closed,2022-12-28,2023-01-14,Sideswipe,PA,1,ADJ-A01,N,Y
KM-CLM-000488,KM-POL-001058,Closed,2022-01-19,2022-03-04,Motor Vehicle,PA,1,ADJ-A03,N,N
KM-CLM-000489,KM-POL-001660,Closed,2024-04-04,2024-05-13,Fall,MD,1,ADJ-A02,N,
KM-CLM-000490,KM-POL-001005,Closed,2024-01-30,2024-03-01,Product Defect,DE,2,ADJ-A01,N,N
KM-CLM-000491,KM-POL-001613,Open,2023-04-20,2023-05-02,Head On,NJ,1,ADJ-A03,N,N
KM-CLM-000492,KM-POL-001928,Open,2023-03-19,2023-04-08,Rear End Collision,NY,2,ADJ-A04,N,N
KM-CLM-000493,KM-POL-000635,Reopened,2021-11-28,2021-11-29,Cut/Laceration,NY,1,ADJ-A02,N,Y
KM-CLM-000494,KM-POL-000205,Open,2023-11-15,2023-11-24,Intersection,NY,1,ADJ-A05,Y,N
KM-CLM-000495,KM-POL-000740,Open,2022-01-09,2022-01-12,Struck By,PA,1,ADJ-A04,N,Y
KM-CLM-000496,KM-POL-001094,Closed,2024-10-10,2024-11-13,Head On,OH,1,ADJ-A05,Y,N
KM-CLM-000497,KM-POL-001254,Closed,2023-10-22,2023-10-23,Motor Vehicle,PA,2,ADJ-A05,N,N
KM-CLM-000498,KM-POL-001504,Open,2024-07-08,2024-07-19,Cut/Laceration,PA,1,ADJ-A02,N,N
KM-CLM-000499,KM-POL-000533,Open,2023-10-10,2023-10-16,Property Damage,PA,1,ADJ-A02,N,N
KM-CLM-000500,KM-POL-000108,Closed,2021-09-09,2021-09-27,Head On,MD,1,ADJ-A05,N,N
KM-CLM-000501,KM-POL-000876,Closed,2023-12-21,2024-01-07,Fall,NJ,1,ADJ-A01,Y,N
KM-CLM-000502,KM-POL-001265,Open,2022-01-08,2022-01-16,Strain,NY,2,ADJ-A05,N,N
KM-CLM-000503,KM-POL-000251,Closed,2022-01-24,2022-03-10,Fall,PA,1,ADJ-A05,N,N
KM-CLM-000504,KM-POL-000135,Closed,2023-10-23,2023-11-20,Product Defect,NY,1,ADJ-A02,N,N
KM-CLM-000505,KM-POL-001114,Closed,2022-09-11,2022-09-11,Rear End Collision,PA,2,ADJ-A03,N,N
KM-CLM-000506,KM-POL-001615,Closed,2021-05-23,2021-06-06,Burn,NJ,1,ADJ-A04,N,N
KM-CLM-000507,KM-POL-001464,Open,2022-09-07,2022-09-12,Intersection,DE,1,ADJ-A02,Y,N
KM-CLM-000508,KM-POL-000689,Closed,2023-04-08,2023-04-17,Rear End Collision,NJ,1,ADJ-A01,N,
KM-CLM-000509,KM-POL-001322,Closed,2023-09-16,2023-09-16,Cut/Laceration,PA,1,ADJ-A04,N,N
KM-CLM-000510,KM-POL-000407,Open,2023-10-02,2023-11-02,Cut/Laceration,NJ,1,ADJ-A02,N,N
KM-CLM-000511,KM-POL-001332,Closed,2021-10-10,2021-10-23,Parking,NY,1,ADJ-A02,N,N
KM-CLM-000512,KM-POL-000102,Open,2022-02-10,2022-03-03,Single Vehicle,DE,3,ADJ-A03,N,N
KM-CLM-000513,KM-POL-001385,Open,2022-01-17,2022-02-12,Rear End Collision,PA,1,ADJ-A01,Y,N
KM-CLM-000514,KM-POL-001871,Closed,2023-05-10,2023-05-29,Advertising Injury,NJ,3,ADJ-A01,Y,Y
KM-CLM-000515,KM-POL-001648,Open,2023-03-16,2023-04-16,Bodily Injury,NJ,1,ADJ-A02,N,N
KM-CLM-000516,KM-POL-000693,Closed,2023-05-10,2023-06-02,Sideswipe,PA,1,ADJ-A03,Y,
KM-CLM-000517,KM-POL-001640,Closed,2021-12-27,2022-01-25,Product Defect,PA,1,ADJ-A02,N,N
KM-CLM-000518,KM-POL-001552,Closed,2023-04-09,2023-05-23,Single Vehicle,PA,1,ADJ-A05,N,N
KM-CLM-000519,KM-POL-001632,Closed,2022-09-05,2022-09-07,Repetitive Motion,PA,2,ADJ-A05,N,N
KM-CLM-000520,KM-POL-001317,Closed,2023-06-30,2023-07-21,Parking,NJ,1,ADJ-A03,N,N
KM-CLM-000521,KM-POL-001170,Open,2022-04-24,2022-04-29,Cut/Laceration,NJ,1,ADJ-A02,N,N
KM-CLM-000522,KM-POL-000404,Closed,2023-06-22,2023-07-01,Bodily Injury,NJ,1,ADJ-A03,N,N
KM-CLM-000523,KM-POL-000814,Reopened,2022-06-29,2022-07-02,Bodily Injury,PA,1,ADJ-A02,N,N
KM-CLM-000524,KM-POL-001026,Open,2023-09-30,2023-10-17,Rear End Collision,NJ,3,ADJ-A02,N,N
KM-CLM-000525,KM-POL-001143,Open,2022-04-22,2022-05-17,Single Vehicle,DE,2,ADJ-A05,N,N
KM-CLM-000526,KM-POL-000855,Open,2023-02-28,2023-03-04,Burn,PA,1,ADJ-A04,Y,N
KM-CLM-000527,KM-POL-001630,Closed,2021-06-19,2021-07-23,Rear End Collision,NY,2,ADJ-A01,N,N
KM-CLM-000528,KM-POL-001215,Closed,2024-03-08,2024-04-07,Sideswipe,PA,2,ADJ-A01,N,N
KM-CLM-000529,KM-POL-001027,Closed,2023-11-29,2023-12-10,Advertising Injury,MD,1,ADJ-A03,N,N
KM-CLM-000530,KM-POL-000942,Closed,2024-04-28,2024-05-10,Intersection,NY,1,ADJ-A01,N,N
KM-CLM-000531,KM-POL-001021,Closed,2024-07-08,2024-07-24,Single Vehicle,PA,1,ADJ-A05,N,N
KM-CLM-000532,KM-POL-001511,Closed,2023-01-31,2023-02-24,Advertising Injury,NJ,1,ADJ-A04,N,N
KM-CLM-000533,KM-POL-001647,Closed,2022-09-11,2022-09-11,Motor Vehicle,NJ,1,ADJ-A02,N,N
KM-CLM-000534,KM-POL-000177,Closed,2022-07-18,2022-07-25,Sideswipe,PA,1,ADJ-A02,Y,N
KM-CLM-000535,KM-POL-001281,Closed,2024-05-16,2024-06-30,Rear End Collision,NJ,1,ADJ-A05,Y,N
KM-CLM-000536,KM-POL-000873,Closed,2024-05-13,2024-05-28,Sideswipe,OH,1,ADJ-A01,N,N
KM-CLM-000537,KM-POL-001558,Closed,2024-02-07,2024-03-02,Fall,NJ,2,ADJ-A02,N,N
KM-CLM-000538,KM-POL-000477,Closed,2024-04-16,2024-05-14,Strain,PA,1,ADJ-A01,N,N
KM-CLM-000539,KM-POL-000398,Closed,2023-02-03,2023-02-18,Repetitive Motion,PA,1,ADJ-A05,N,N
KM-CLM-000540,KM-POL-001520,Closed,2021-06-08,2021-06-10,Property Damage,PA,2,ADJ-A02,N,N
KM-CLM-000541,KM-POL-000220,Closed,2024-05-07,2024-05-19,Slip and Fall,PA,1,ADJ-A03,Y,N
KM-CLM-000542,KM-POL-000173,Closed,2021-11-17,2021-12-16,Sideswipe,PA,1,ADJ-A04,N,N
KM-CLM-000543,KM-POL-000736,Closed,2022-10-29,2022-11-04,Slip and Fall,NY,3,ADJ-A01,Y,
KM-CLM-000544,KM-POL-001414,Closed,2023-03-11,2023-04-13,Repetitive Motion,NJ,2,ADJ-A01,N,N
KM-CLM-000545,KM-POL-000502,Open,2023-09-10,2023-10-22,Single Vehicle,NY,1,ADJ-A01,N,N
KM-CLM-000546,KM-POL-001601,Open,2022-05-16,2022-05-29,Motor Vehicle,PA,1,ADJ-A01,N,N
KM-CLM-000547,KM-POL-001813,Closed,2022-07-17,2022-08-16,Burn,PA,3,ADJ-A05,N,N
KM-CLM-000548,KM-POL-000761,Closed,2022-06-02,2022-06-26,Struck By,PA,1,ADJ-A05,N,N
KM-CLM-000549,KM-POL-001284,Reopened,2023-11-25,2024-01-07,Struck By,OH,1,ADJ-A05,Y,N
KM-CLM-000550,KM-POL-000131,Closed,2023-02-25,2023-03-16,Strain,PA,1,ADJ-A05,N,
KM-CLM-000551,KM-POL-001137,Closed,2023-04-17,2023-05-07,Slip and Fall,NY,1,ADJ-A02,N,N
KM-CLM-000552,KM-POL-000798,Open,2021-12-19,2021-12-29,Rear End Collision,NY,1,ADJ-A05,N,N
KM-CLM-000553,KM-POL-000799,Open,2023-10-28,2023-12-07,Parking,MD,2,ADJ-A02,N,N
KM-CLM-000554,KM-POL-000930,Closed,2024-04-19,2024-04-21,Fall,NJ,3,ADJ-A03,N,N
KM-CLM-000555,KM-POL-000723,Open,2021-03-18,2021-04-22,Fall,NY,2,ADJ-A05,N,N
KM-CLM-000556,KM-POL-001044,Closed,2023-09-08,2023-10-11,Head On,NJ,1,ADJ-A03,N,N
KM-CLM-000557,KM-POL-000215,Closed,2021-09-30,2021-10-07,Intersection,NY,1,ADJ-A05,N,N
KM-CLM-000558,KM-POL-001334,Closed,2021-09-21,2021-10-07,Advertising Injury,PA,3,ADJ-A03,N,N
KM-CLM-000559,KM-POL-001275,Closed,2023-08-30,2023-09-29,Head On,OH,1,ADJ-A04,N,N
KM-CLM-000560,KM-POL-000488,Closed,2023-12-10,2024-01-19,Repetitive Motion,OH,1,ADJ-A03,Y,N
KM-CLM-000561,KM-POL-001406,Open,2023-07-10,2023-07-29,Head On,OH,2,ADJ-A02,N,N
KM-CLM-000562,KM-POL-001433,Closed,2021-09-03,2021-09-15,Single Vehicle,NY,1,ADJ-A01,N,N
KM-CLM-000563,KM-POL-001295,Closed,2024-06-12,2024-07-05,Advertising Injury,MD,1,ADJ-A03,N,N
KM-CLM-000564,KM-POL-001958,Open,2022-05-31,2022-06-03,Motor Vehicle,NJ,2,ADJ-A01,N,N
KM-CLM-000565,KM-POL-001431,Open,2021-10-03,2021-11-14,Single Vehicle,DE,3,ADJ-A04,N,N
KM-CLM-000566,KM-POL-001716,Open,2023-11-07,2023-11-20,Product Defect,NJ,1,ADJ-A04,Y,N
KM-CLM-000567,KM-POL-001218,Open,2024-05-30,2024-06-06,Parking,PA,2,ADJ-A02,N,N
KM-CLM-000568,KM-POL-001465,Reopened,2023-12-15,2023-12-30,Advertising Injury,PA,1,ADJ-A02,N,N
KM-CLM-000569,KM-POL-000313,Closed,2021-10-27,2021-12-06,Struck By,NJ,1,ADJ-A03,Y,N
KM-CLM-000570,KM-POL-000079,Closed,2023-02-19,2023-03-18,Strain,MD,2,ADJ-A05,N,N
KM-CLM-000571,KM-POL-000180,Closed,2022-09-20,2022-10-10,Strain,DE,3,ADJ-A04,Y,N
KM-CLM-000572,KM-POL-001004,Closed,2023-06-19,2023-06-19,Intersection,NY,1,ADJ-A01,N,N
KM-CLM-000573,KM-POL-000675,Closed,2021-04-25,2021-05-05,Struck By,OH,1,ADJ-A05,N,N
KM-CLM-000574,KM-POL-001738,Reopened,2022-08-16,2022-09-02,Struck By,NY,1,ADJ-A04,N,N
KM-CLM-000575,KM-POL-000014,Closed,2022-08-05,2022-09-11,Cut/Laceration,PA,1,ADJ-A03,N,N
KM-CLM-000576,KM-POL-000859,Closed,2022-10-14,2022-10-21,Rear End Collision,PA,1,ADJ-A04,N,N
KM-CLM-000577,KM-POL-000246,Closed,2021-10-28,2021-11-22,Bodily Injury,DE,1,ADJ-A02,N,N
KM-CLM-000578,KM-POL-001038,Closed,2022-10-05,2022-10-20,Single Vehicle,MD,1,ADJ-A01,N,N
KM-CLM-000579,KM-POL-000099,Open,2022-07-08,2022-07-08,Strain,NY,1,ADJ-A01,Y,N
KM-CLM-000580,KM-POL-000033,Closed,2022-03-07,2022-03-09,Struck By,NJ,1,ADJ-A02,N,N
KM-CLM-000581,KM-POL-001460,Reopened,2021-11-01,2021-12-08,Parking,NY,2,ADJ-A05,N,N
KM-CLM-000582,KM-POL-000257,Open,2021-07-07,2021-08-20,Product Defect,DE,1,ADJ-A02,N,N
KM-CLM-000583,KM-POL-000034,Closed,2023-12-04,2024-01-03,Slip and Fall,MD,1,ADJ-A01,N,N
KM-CLM-000584,KM-POL-000019,Closed,2022-09-09,2022-10-23,Repetitive Motion,PA,2,ADJ-A03,N,N
KM-CLM-000585,KM-POL-001688,Open,2021-08-02,2021-09-09,Intersection,NJ,1,ADJ-A05,N,N
KM-CLM-000586,KM-POL-001284,Closed,2023-12-16,2023-12-25,Struck By,OH,1,ADJ-A04,N,N
KM-CLM-000587,KM-POL-001700,Open,2023-08-16,2023-09-08,Single Vehicle,PA,1,ADJ-A03,Y,N
KM-CLM-000588,KM-POL-000589,Closed,2024-08-20,2024-08-25,Cut/Laceration,PA,1,ADJ-A05,N,N
KM-CLM-000589,KM-POL-001850,Open,2023-02-22,2023-03-09,Single Vehicle,PA,1,ADJ-A01,N,N
KM-CLM-000590,KM-POL-001440,Reopened,2021-11-18,2021-11-28,Sideswipe,MD,2,ADJ-A01,N,N
KM-CLM-000591,KM-POL-000137,Open,2023-02-26,2023-03-29,Head On,PA,1,ADJ-A03,N,N
KM-CLM-000592,KM-POL-000359,Open,2023-01-05,2023-01-10,Product Defect,DE,1,ADJ-A05,N,N
KM-CLM-000593,KM-POL-001744,Open,2022-01-30,2022-03-14,Burn,PA,1,ADJ-A04,N,N
KM-CLM-000594,KM-POL-000754,Reopened,2024-01-19,2024-02-27,Strain,NJ,1,ADJ-A04,N,N
KM-CLM-000595,KM-POL-001603,Closed,2023-08-10,2023-08-31,Strain,PA,2,ADJ-A02,Y,N
KM-CLM-000596,KM-POL-001140,Closed,2024-07-29,2024-09-07,Single Vehicle,PA,1,ADJ-A03,N,N
KM-CLM-000597,KM-POL-000404,Closed,2023-03-10,2023-03-13,Advertising Injury,NJ,1,ADJ-A05,N,N
KM-CLM-000598,KM-POL-001226,Closed,2022-08-29,2022-09-01,Rear End Collision,OH,1,ADJ-A03,N,N
KM-CLM-000599,KM-POL-001400,Open,2024-04-11,2024-05-03,Parking,DE,1,ADJ-A04,N,N
